ID,Title,Author,Author First Name,Author Last Name,Publisher,Page Count,Genres,ISBN,Published Date,Checkout Date,Checkout Duration,Available Date,Available Status,Checkout,Edit
117,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,Patrick,Rothfuss,Hachette UK,672,"Fiction, Fantasy, Urban",9780575087057,22-Apr-10,,,,Available,Checkout,Edit
118,Captivate: The Science of Succeeding with People,Vanessa Van Edwards,Vanessa,Van Edwards,Penguin,288,"Self-Help, Communication, Social Skills",9780399564505,25-Apr-17,,,,Available,Checkout,Edit
119,My Little Pony: The Feats of Friendship #2,Ian Flynn,Ian,Flynn,IDW Publishing,30,"Comics & Graphic Novels, Fantasy",Original pages,30-Oct-19,,,,Available,Checkout,Edit
122,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,Billy,Connolly,Hachette UK,336,"Humor, General",9781529361353,17-Oct-19,,,,Available,Checkout,Edit
124,Antiques Con,Barbara Allan,Barbara,Allan,Kensington Books,288,"Fiction, Mystery, Detective, Amateur Sleuth",9781617738760,1-Apr-15,,,,Available,Checkout,Edit
126,Maigret Goes to School,Georges Simenon,Georges,Simenon,Penguin,176,"Fiction, Thrillers, Suspense",9781524705398,2-Jan-18,,,,Available,Checkout,Edit
129,Antiques Chop,Barbara Allan,Barbara,Allan,Kensington Books,240,"Fiction, Mystery, Detective, Private Investigators",9781617730436,1-Apr-14,,,,Available,Checkout,Edit
131,Principles: Life and Work,Ray Dalio,Ray,Dalio,Simon and Schuster,592,"Business, Economics, General",9781501124051,19-Sep-17,,,,Available,Checkout,Edit
134,Young Justice Vol. 1,Art Baltazar,Art,Baltazar,DC,164,"Comics, Graphic Novels, Superheroes",9781401244378,17-Jan-12,,,,Available,Checkout,Edit
138,'Salem's Lot,Stephen King,Stephen,King,Hachette UK,300,"Fiction, Thrillers, Supernatural",9781848940819,11-Dec-08,,,,Available,Checkout,Edit
140,Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,Caleb,Goellner,IDW Publishing,52,"Comics & Graphic Novels, Science Fiction",Original pages,22-May-19,,,,Available,Checkout,Edit
145,Killer Blonde,Laura Levine,Laura,Levine,Kensington Books,288,"Fiction, Mystery, Detective, Amateur Sleuth",9780758265111,1-Sep-08,,,,Available,Checkout,Edit
147,Management (The Brian Tracy Success Library),Brian Tracy,Brian,Tracy,AMACOM,112,"Business, Economics, General",9780814434208,15-May-14,,,,Available,Checkout,Edit
148,Legacy,Shannon Messenger,Shannon,Messenger,Simon and Schuster,816,"Juvenile Fiction, Fantasy, Magic",9781534427358,5-Nov-19,,,,Available,Checkout,Edit
149,Gangster: A Novel,Lorenzo Carcaterra,Lorenzo,Carcaterra,Ballantine Books,384,"Fiction, Mystery, Detective, Hard-Boiled",9780345459541,30-Jul-02,,,,Available,Checkout,Edit
154,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,Morgan,Rice,Morgan Rice,500,"Juvenile Fiction, Fantasy, Magic",9781632915740,25-Feb-16,,,,Available,Checkout,Edit
155,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,Sara,Rosett,Kensington Publishing Corp.,320,"Fiction, Mystery, Detective, Cozy, General",9781617734076,1-Mar-09,,,,Available,Checkout,Edit
156,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,Timothy,Snyder,Tim Duggan Books,128,"History, Modern, 20th Century",9780804190121,28-Feb-17,,,,Available,Checkout,Edit
160,My Little Pony: Friendship is Magic #45,Thom Zahler,Thom,Zahler,IDW Publishing,31,"Comics & Graphic Novels, General",Original pages,31-Aug-16,,,,Available,Checkout,Edit
161,Antiques Knock-Off,Barbara Allan,Barbara,Allan,Kensington Publishing Corp.,240,"Fiction, Mystery, Detective, Cozy, General",9780758277695,1-Apr-12,,,,Available,Checkout,Edit
162,Thrawn (Star Wars),Timothy Zahn,Timothy,Zahn,Del Rey,448,"Fiction, Action, Adventure",9780345542847,11-Apr-17,,,,Available,Checkout,Edit
163,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,Sara,Rosett,Sara Rosett,254,"Fiction, Mystery & Detective, Amateur Sleuth",Flowing text,30-Apr-16,,,,Available,Checkout,Edit
167,The Guardians: A Novel,John Grisham,John,Grisham,Doubleday,384,"Fiction, Thrillers, Suspense",9780385544191,15-Oct-19,,,,Available,Checkout,Edit
169,The Burning White: Book Five of Lightbringer,Brent Weeks,Brent,Weeks,Hachette UK,640,"Fiction, Fantasy, General",9780356504650,22-Oct-19,,,,Available,Checkout,Edit
171,Platform Revolution: How Networked Markets Are Transforming the Economy-and How to Make Them Work for You,Geoffrey G. Parker,Geoffrey,Parker,W. W. Norton & Company,256,"Business, Economics, New Business Enterprises",9780393249125,28-Mar-16,,,,Available,Checkout,Edit
173,Total Control,David Baldacci,David,Baldacci,Pan Macmillan,624,"Fiction, Mystery, Detective, General",9780330523332,4-Nov-11,,,,Available,Checkout,Edit
181,Auberon,James S. A. Corey,James,Corey,Hachette UK,112,"Fiction, Science Fiction, Action, Adventure",9780356504322,12-Nov-19,,,,Available,Checkout,Edit
182,Watching (The Making of Riley Paige-Book 1),Blake Pierce,Blake,Pierce,Blake Pierce,250,"Fiction, Mystery, Detective, General",9781640294127,15-May-18,,,,Available,Checkout,Edit
183,The Mysterious Affair at Styles (Poirot),Agatha Christie,Agatha,Christie,HarperCollins UK,208,"Fiction, Mystery, Detective, Cozy, General",9780007422586,14-Oct-10,,,,Available,Checkout,Edit
190,It,Stephen King,Stephen,King,Simon and Schuster,1168,"Fiction, Horror",9781501141232,1-Jan-16,,,,Available,Checkout,Edit
191,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,Leo,Tolstoy,Simon and Schuster,1400,"Fiction, General",9781476789477,8-Apr-14,,,,Available,Checkout,Edit
192,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,Blake,Pierce,Blake Pierce,250,"Fiction, Thrillers, Suspense",9781640290112,15-Jun-17,,,,Available,Checkout,Edit
194,Find Me: A Novel,André Aciman,André,Aciman,"Farrar, Straus and Giroux",272,"Fiction, LGBT, Gay",9780374722104,29-Oct-19,,,,Available,Checkout,Edit
195,Dark Matter: A Novel,Blake Crouch,Blake,Crouch,Broadway Books,368,"Fiction, Thrillers, Suspense",9781101904237,26-Jul-16,,,,Available,Checkout,Edit
198,Strawberry Shortcake Murder,Joanne Fluke,Joanne,Fluke,Kensington Books,304,"Fiction, Mystery, Detective, Amateur Sleuth",9781617731259,1-Oct-11,,,,Available,Checkout,Edit
199,The Witcher #1,Paul Tobin,Paul,Tobin,Dark Horse Comics (Single Issues),24,"Comics & Graphic Novels, General",Original pages,19-Feb-14,,,,Available,Checkout,Edit
202,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,Jason,Kelly,Penguin,336,"Business, Economics, Reference",9781101615478,24-Dec-12,,,,Available,Checkout,Edit
206,The Infinite Game,Simon Sinek,Simon,Sinek,Penguin,272,"Business, Economics, Motivational",9780735213524,15-Oct-19,,,,Available,Checkout,Edit
207,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Steven,Levitt,Harper Collins,336,"Business, Economics, Economics, Theory",9780061792809,17-Feb-10,,,,Available,Checkout,Edit
213,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,Tony,Robbins,Simon and Schuster,544,"Self-Help, Personal Growth, Success",9780743274333,1-Nov-07,,,,Available,Checkout,Edit
215,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,Brian,Tracy,Berrett-Koehler Publishers,288,"Self-Help, Personal Growth, Success",9781605099408,9-Aug-10,,,,Available,Checkout,Edit
216,15 Delicious Slow Cooker Recipes,Sallie Stone,Sallie,Stone,BookRix,18,"Cooking, General",9783743895003,28-Oct-19,,,,Available,Checkout,Edit
217,Moby Dick. Illustrated edition,Melville Herman,Melville,Herman,Strelbytskyy Multimedia Publishing,771,"Fiction, Action & Adventure","Flowing text, Google-generated PDF",28-Feb-18,,,,Available,Checkout,Edit
223,Shall We Tell the President?,Jeffrey Archer,Jeffrey,Archer,Pan Macmillan,200,"Fiction, General",9780330524759,1-Apr-11,,,,Available,Checkout,Edit
226,Final Option,Clive Cussler,Clive,Cussler,Penguin,400,"Fiction, Thrillers, Suspense",9780525541820,5-Nov-19,,,,Available,Checkout,Edit
228,That Time I got Reincarnated as a Slime 11,Story by FUSE,FUSE,,Kodansha America LLC,208,"Comics, Graphic Novels, Manga, General",9781646590797,15-Oct-19,,,,Available,Checkout,Edit
229,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Charles,Duhigg,Random House,416,"Business, Economics, Organizational Behavior",9780679603856,28-Feb-12,,,,Available,Checkout,Edit
234,The Mysterious Affair at Styles,Agatha Christie,Agatha,Christie,HarperCollins UK,208,"Fiction, Thrillers, Military",9780007463497,17-Jan-13,,,,Available,Checkout,Edit
236,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,Jason,Aaron,Marvel Entertainment,160,"Comics, Graphic Novels, Superheroes",9781302494605,30-Nov-16,,,,Available,Checkout,Edit
237,Mrs. Pollifax Unveiled,Dorothy Gilman,Dorothy,Gilman,Ballantine Books,208,"Fiction, Mystery, Detective, Women Sleuths",9780345443076,31-May-00,,,,Available,Checkout,Edit
239,A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,George,Martin,Bantam,1040,"Fiction, Action, Adventure",9780553905656,12-Jul-11,,,,Available,Checkout,Edit
242,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,Renee,Evenson,AMACOM,240,"Business, Economics, Conflict Resolution, Mediation",9780814432990,15-Oct-13,,,,Available,Checkout,Edit
249,Summary: The Compound Effect,Nine99 Innovation Lab,Nine99 Innovation Lab,,Nine99 Innovation Lab (OPC) Pvt Ltd,7,"Business & Economics, Mentoring & Coaching","Flowing text, Google-generated PDF",7-Jul-19,,,,Available,Checkout,Edit
250,And Then There Were None,Agatha Christie,Agatha,Christie,HarperCollins UK,224,"Fiction, Classics",9780007422135,14-Oct-10,,,,Available,Checkout,Edit
